"Taxon","Mean_Abundance_HC","Mean_Abundance_ID","p_value","significance"
"[Ruminococcus] torques",2.56495370609471,2.18081995106626,0.223507587659299,"ns"
"Agathobacter rectalis",5.07844437998131,10.8505813283733,0.203602673801358,"ns"
"Anaerostipes hadrus",1.69638222424644,1.75938697423153,0.684925318656526,"ns"
"Bacteroides ovatus",1.53524015350841,1.26521418697581,0.684925318656526,"ns"
"Bacteroides uniformis",3.14574030141454,1.85667794089612,0.0372642732416342,"*"
"Bifidobacterium adolescentis",2.21267917839896,2.02010254352385,0.665159038276388,"ns"
"Bifidobacterium longum",3.64543575950353,3.94249556022262,0.645622804737225,"ns"
"Bifidobacterium pseudocatenulatum",2.21085330375155,5.15496940092818,0.303995277817939,"ns"
"Blautia wexlerae",3.418762271716,3.9880287400691,0.417077059520565,"ns"
"Collinsella aerofaciens",1.98659868477419,2.02132977067061,0.481867368283708,"ns"
"Escherichia coli",1.99820725525129,3.12925458330229,0.956855350369568,"ns"
"Faecalibacterium prausnitzii",8.82693874302173,5.58049118959112,0.0424830798257159,"*"
"Megamonas funiformis",0.629800883788966,2.33066890282212,0.203602673801358,"ns"
"Others",54.1461569148343,49.4038889170715,0.203602673801358,"ns"
"Phocaeicola dorei",2.04982444482533,0.605209182284776,0.0699312121612827,"ns"
"Phocaeicola vulgatus",4.85398179488871,3.91088082797079,0.481867368283708,"ns"
