Sample	Q20	Q30	CleanReads	Retention	N_Content	AvgReadLen	AdapterTrimmed	Pass
SRR28210342	0.982067	0.941938	124329304	0.9979787305806443	0.000978691	149	73306	PASS
SRR28210343	0.980896	0.938291	142872172	0.9977865496115857	0.00117362	149	88042	PASS
SRR28210344	0.981666	0.94226	132916356	0.9972674183622103	0.00107278	149	74434	PASS
SRR28210345	0.979261	0.936426	127081220	0.9966262470687721	0.000925629	149	61932	PASS
SRR28210346	0.967147	0.90651	66467034	0.997318628156496	0.00349524	149	24590	PASS
SRR28210347	0.980849	0.939217	142718850	0.9971773895191983	0.00114059	149	79496	PASS
SRR28210348	0.965572	0.902512	74339898	0.9973677451526305	0.00352704	149	37268	PASS
SRR28210349	0.968225	0.909127	67878582	0.9970346266431255	0.00352594	149	60444	PASS
SRR28210350	0.964785	0.90121	70202972	0.9971831762149779	0.0034839	149	34220	PASS
SRR28210351	0.972254	0.918148	76001072	0.997774128601661	0.0027237	149	36938	PASS
SRR28210352	0.967783	0.907673	70459432	0.9974164073801934	0.00353003	149	34002	PASS
SRR28210353	0.964331	0.901343	69982732	0.9964551048290219	0.00352604	149	26030	PASS
SRR28210354	0.965902	0.904665	82209712	0.9968558370436564	0.00352061	149	51348	PASS
SRR28210355	0.967736	0.907565	69463074	0.9974773526945085	0.00352512	149	21896	PASS
SRR28210356	0.965798	0.903656	74415394	0.9971885635733925	0.00352639	149	39104	PASS
SRR28210357	0.96763	0.906687	73954680	0.9978695652338175	0.00354763	149	39796	PASS
SRR28210358	0.978176	0.933965	116685160	0.996796876627102	0.000787932	149	63950	PASS
SRR28210359	0.966747	0.905382	70600744	0.9973557918538702	0.0034939	149	26800	PASS
SRR28210360	0.967589	0.907485	68297108	0.9974693000854413	0.00350161	149	38134	PASS
SRR28210361	0.966361	0.905088	73654268	0.9971503325036278	0.00353286	149	39066	PASS
SRR28210362	0.97274	0.919811	76722976	0.997408424701042	0.00270279	149	28814	PASS
SRR28210363	0.967525	0.907611	72769188	0.9972945428343677	0.00293124	149	43800	PASS
SRR28210364	0.973213	0.920783	73902214	0.9978198491989677	0.00251043	149	35566	PASS
SRR28210365	0.969857	0.913632	75407952	0.9970904161710059	0.00290757	149	26574	PASS
SRR28210366	0.970793	0.916165	75664262	0.9970785373210012	0.00256504	149	57548	PASS
SRR28210367	0.966997	0.906678	72543044	0.9973012132414927	0.00317993	149	39202	PASS
SRR28210368	0.967984	0.908202	71572060	0.9975037340854511	0.00328824	149	33490	PASS
SRR28210369	0.981292	0.940798	132798340	0.9972389652326912	0.00110324	149	64728	PASS
SRR28210370	0.96541	0.902212	71907098	0.9973096932594844	0.00366136	149	35834	PASS
SRR28210371	0.970725	0.914671	74760546	0.9975776227413158	0.0030438	149	36128	PASS
SRR28210372	0.964361	0.900744	80199576	0.996922575724439	0.0036065	149	36744	PASS
SRR28210373	0.968749	0.909643	72792902	0.9977190576260595	0.00333425	149	40086	PASS
SRR28210374	0.966769	0.90539	74659404	0.9974051228504052	0.00366837	149	35668	PASS
SRR28210375	0.963096	0.898018	69790570	0.99673372782282	0.00364284	149	31094	PASS
SRR28210376	0.966018	0.904212	77774730	0.997256295103645	0.00364643	149	44902	PASS
SRR28210377	0.967871	0.90798	73546930	0.9972372054346124	0.00355077	149	34762	PASS
SRR28210378	0.981574	0.940761	125422274	0.9976145814977714	0.000964884	149	52448	PASS
SRR28210379	0.979077	0.934349	135728060	0.9975601064095002	0.00108605	149	76832	PASS
SRR28210380	0.981149	0.940665	141107414	0.9973616752183404	0.00111227	149	70446	PASS
SRR28210381	0.976842	0.930537	137112578	0.9955929267774521	0.00112322	149	68506	PASS
